<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
<!--                                                                                                                                                                                                                                                                -->
Feature ID	Data Definition	Alternate Name	Name	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis harvested from rat bubo, 48 to 72h after infection	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 37C, stationary phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 21C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 37C, log phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Y. pestis grow in LB/MOPS at 21C, stationary phase	Data Submitter
ABY-0115486	signal	YPO0045	pyrE	355.3	420	395.3	393	424.1	381.6	154.4	99.1	165.8	150.5	136.3	134.9	740.4	799.2	757.4	720.7	946.6	645.9	960.2	867.4	952.9	971.2	824.5	821.4	328.2	215.7	213.5	233.8	264.8	221.5	YU QIU
ABY-0115489	signal	YPO0046	ttk	183.3	131.2	226.6	139.2	98	209.5	95.7	126.3	91.8	86.9	85.5	94.5	236.9	230.1	290.4	253.4	249	251.9	224.4	235	151.6	187.4	144	151.5	70.4	88.3	62.9	90.3	66.2	79.8	YU QIU
ABY-0115493	signal	YPO0047	dut	345.6	356.7	516.8	409.6	389.4	426.6	308.2	288.4	283.5	277.8	301.8	302.3	514.1	494	571.6	629.5	586.1	596.9	657.9	653.7	460.6	554.7	504.9	459.3	261.1	201.3	278.3	183.5	283.2	243.4	YU QIU
ABY-0115495	signal	YPO0048	dfp	433.4	488.2	636.7	583.7	578.4	531.9	582.9	329.4	523.3	452.2	438.6	420	674.9	694.1	803.5	816	874.5	759.2	674.1	704	539.6	479.6	515	484.8	647.5	650	631	637.7	582.3	601.9	YU QIU
ABY-0115498	signal	YPO0049	yicR	886.1	1138.4	817.2	1370.1	1057.5	1316.1	441.5	738.1	500.3	496	505.5	425.9	834.9	871.7	1076.4	1008.3	1062.8	1085.8	401.5	359.7	433	427	399.1	530.9	1830.9	1984.6	2011.4	1685.6	1517.3	1455	YU QIU
ABY-0115500	signal	YPO0050	rpmB	2306.5	2358.6	2484.7	1842.9	2018.3	1349.1	817.3	2058.2	1115.8	936.2	858.4	868.9	7883.1	6100.3	6072.6	5502.7	5237	5893.7	4911	4864.7	4675.8	3890.9	3801.8	2928.2	1854.6	1830.9	1951.3	1984.3	2031.4	2084.6	YU QIU
ABY-0115502	signal	YPO0051	rpmG	2171.1	1731.7	1755.3	880.6	1471.9	409.1	756.1	998	509.1	519.1	632.9	602.2	5807.2	2873.5	4513.3	3600.2	4252.8	4176.8	3042.8	3184.6	2330.4	2846.4	2302.1	1913.6	1165	941.5	971.3	747.4	1475.8	1310	YU QIU
ABY-0115505	signal	YPO0052	mutM	117.8	118.5	136.4	139.9	109.3	93.9	60.3	129.6	80.2	89.9	97.5	93	317.2	273.7	272.5	261	286.8	226.9	200.2	191.3	213	195.6	195.5	220.7	134.8	116.5	173.6	140.8	89.3	121.4	YU QIU
ABY-0115507	signal	YPO0053	coaD	360.3	369.5	356.4	397.5	326	272.6	326.1	268.6	300.1	338.7	300.7	305.8	350.4	360.8	386.2	387	390.1	275.1	266.7	245.4	236.7	252.5	208.9	269.1	224.1	280.6	320.6	327.4	272.8	321.8	YU QIU
ABY-0115509	signal	YPO0054	kdtX	562.8	288.1	434.7	646	603.9	420.4	417	771	479.5	406.7	437.7	385.8	491.4	506.5	458.8	469.5	485.8	485	430.7	440.6	457.5	419.5	425.3	433.9	418	298.2	392.9	352.6	336.6	310.1	YU QIU
ABY-0115511	signal	YPO0055	kdtA	553.5	606.8	568.8	572.3	542	525.4	988.3	1044.8	1019.2	897.9	959.7	979.7	927.7	959.6	838.3	912	933.6	959.4	799.6	826.8	698.2	607.3	658	710.6	546.7	490.1	545.5	554	503	553.9	YU QIU
ABY-0115515	signal	YPO0056	rfaC	370.7	471.3	473.9	299.3	466.8	525.8	200.9	261.8	192.6	177.1	198	220.6	504.1	408.7	415.1	456.1	497.9	460.5	417	318.8	411.8	391.7	391.2	405.1	205.7	168	250.8	183.5	211	157.3	YU QIU
ABY-0115517	signal	YPO0057	rfaF	544.9	521.1	760.6	675.4	541.5	440	353.4	322.3	349.6	385.9	394.9	423	626.4	604.5	774.9	684.6	666.8	718.9	743.9	716.1	607	737.7	689.7	743.3	323.4	326.3	364.8	319.6	333.9	335	YU QIU
ABY-0115519	signal	YPO0058	rfaD	1473.3	1141.6	1237.4	1915.8	1527.4	1593.5	417.7	491.3	443.8	472.6	490.8	477.3	929.9	799	877.8	861.5	827.1	887.3	869.3	853.8	914.7	915.6	784.4	1099.2	771.6	780.9	559.6	673.7	619.2	704.4	YU QIU
ABY-0115521	signal	YPO0059	kbl	1134	939.8	779.5	1492.6	748.3	1219.3	776.5	921.4	688.2	770.7	676.5	731.4	1457	1285.4	1355.4	1253.8	1219.3	1106.9	887.5	723.1	818.5	783.7	806.6	906.1	946	849.3	762.4	811.4	810.9	853.8	YU QIU
